nom_mun,year,gen,hog
Azcapotzalco,2020,Mujeres,54550
Coyoacán,2020,Mujeres,80509
Cuajimalpa de Morelos,2020,Mujeres,20081
Gustavo A. Madero,2020,Mujeres,135255
Iztacalco,2020,Mujeres,48329
Iztapalapa,2020,Mujeres,193029
La Magdalena Contreras,2020,Mujeres,25480
Milpa Alta,2020,Mujeres,12570
Álvaro Obregón,2020,Mujeres,85169
Tláhuac,2020,Mujeres,38489
Tlalpan,2020,Mujeres,76992
Xochimilco,2020,Mujeres,42959
Benito Juárez,2020,Mujeres,77537
Cuauhtémoc,2020,Mujeres,88721
Miguel Hidalgo,2020,Mujeres,60195
Venustiano Carranza,2020,Mujeres,58500
Azcapotzalco,2020,Hombres,79618
Coyoacán,2020,Hombres,111008
Cuajimalpa de Morelos,2020,Hombres,40355
Gustavo A. Madero,2020,Hombres,204900
Iztacalco,2020,Hombres,69391
Iztapalapa,2020,Hombres,311336
La Magdalena Contreras,2020,Hombres,42609
Milpa Alta,2020,Hombres,26530
Álvaro Obregón,2020,Hombres,134185
Tláhuac,2020,Hombres,68446
Tlalpan,2020,Hombres,125326
Xochimilco,2020,Hombres,74154
Benito Juárez,2020,Hombres,98516
Cuauhtémoc,2020,Hombres,107745
Miguel Hidalgo,2020,Hombres,86567
Venustiano Carranza,2020,Hombres,77268
Azcapotzalco,2010,Mujeres,38212
Coyoacán,2010,Mujeres,56456
Cuajimalpa de Morelos,2010,Mujeres,10774
Gustavo A. Madero,2010,Mujeres,97657
Iztacalco,2010,Mujeres,33523
Iztapalapa,2010,Mujeres,131599
La Magdalena Contreras,2010,Mujeres,17479
Milpa Alta,2010,Mujeres,7026
Álvaro Obregón,2010,Mujeres,57273
Tláhuac,2010,Mujeres,24037
Tlalpan,2010,Mujeres,49227
Xochimilco,2010,Mujeres,27387
Benito Juárez,2010,Mujeres,51489
Cuauhtémoc,2010,Mujeres,65534
Miguel Hidalgo,2010,Mujeres,39710
Venustiano Carranza,2010,Mujeres,42361
Azcapotzalco,2010,Hombres,75872
Coyoacán,2010,Hombres,117285
Cuajimalpa de Morelos,2010,Hombres,35664
Gustavo A. Madero,2010,Hombres,218131
Iztacalco,2010,Hombres,68096
Iztapalapa,2010,Hombres,322153
La Magdalena Contreras,2010,Hombres,45224
Milpa Alta,2010,Hombres,24563
Álvaro Obregón,2010,Hombres,137646
Tláhuac,2010,Hombres,66238
Tlalpan,2010,Hombres,121201
Xochimilco,2010,Hombres,73737
Benito Juárez,2010,Hombres,81074
Cuauhtémoc,2010,Hombres,102717
Miguel Hidalgo,2010,Hombres,72740
Venustiano Carranza,2010,Hombres,76449
