year,hombre,mujer,hog_hom,hog_muj
1970,3480515,3708780,,
1971,3561109,3795082,,
1972,3643395,3882927,,
1973,3726081,3971204,,
1974,3809092,4060369,,
1975,3892487,4150139,,
1976,3975516,4239301,,
1977,4057442,4327706,,
1978,4138384,4415675,,
1979,4217948,4503181,,
1980,4275714,4568369,,
1981,4290609,4588127,,
1982,4280763,4581775,,
1983,4265577,4569397,,
1984,4245019,4550475,,
1985,4218784,4524856,,
1986,4187232,4492779,,
1987,4150687,4454315,,
1988,4108572,4409078,,
1989,4060801,4356985,,
1990,4046626,4343004,,
1991,4067744,4369423,,
1992,4086244,4393173,,
1993,4101546,4413919,,
1994,4113638,4431774,,
1995,4122220,4446685,,
1996,4130714,4457567,,
1997,4139236,4464615,,
1998,4144417,4468961,,
1999,4146178,4470569,,
2000,4156737,4484256,,
2001,4181018,4513132,,
2002,4208083,4543466,,
2003,4234583,4573301,,
2004,4260044,4601546,,
2005,4285439,4629565,,
2006,4295971,4645821,,
2007,4292148,4649602,,
2008,4289726,4652939,,
2009,4286891,4654237,,
2010,4304574,4677297,1638790,749744
2011,4328080,4706395,1645418.757,782608.861
2012,4333141,4715959,1652074.327,816914.3459
2013,4335119,4722710,1658756.818,852723.6041
2014,4334999,4727023,1665466.339,890102.5531
2015,4331449,4727285,1672203,929120
2016,4328001,4725989,1669343.437,960742.0159
2017,4324972,4724114,1666488.763,993440.2674
2018,4320428,4720967,1663638.972,1027251.383
2019,4314546,4716667,1660794.053,1062213.239
2020,4307410,4711235,1657954,1098365
2021,4299086,4704741,,
2022,4289595,4697179,,
2023,4278969,4688589,,
2024,4267241,4678943,,
2025,4254433,4668241,,
2026,4240578,4656471,,
2027,4225686,4643632,,
2028,4209770,4629696,,
2029,4192837,4614680,,
2030,4174871,4598549,,
2031,4155883,4581293,,
2032,4135882,4562941,,
2033,4114887,4543495,,
2034,4092920,4522942,,
2035,4070021,4501309,,
2036,4046221,4478609,,
2037,4021556,4454835,,
2038,3996064,4430012,,
2039,3969773,4404176,,
2040,3942700,4377315,,
2041,3914867,4349461,,
2042,3886283,4320638,,
2043,3856972,4290844,,
2044,3826959,4260121,,
2045,3796276,4228487,,
2046,3764947,4195951,,
2047,3733023,4162573,,
2048,3700520,4128337,,
2049,3667473,4093294,,
2050,3633892,4057465,,
