year,pob
2000,8640993
2001,8694150
2002,8751549
2003,8807884
2004,8861590
2005,8915004
2006,8941792
2007,8941750
2008,8942665
2009,8941128
2010,8981871
2011,9034475
2012,9049100
2013,9057829
2014,9062022
2015,9058734
2016,9053990
2017,9049086
2018,9041395
2019,9031213
2020,9018645
2021,9003827
2022,8986774
2023,8967558
2024,8946184
2025,8922674
2026,8897049
2027,8869318
2028,8839466
2029,8807517
2030,8773420
2031,8737176
2032,8698823
2033,8658382
2034,8615862
2035,8571330
2036,8524830
2037,8476391
2038,8426076
2039,8373949
2040,8320015
2041,8264328
2042,8206921
2043,8147816
2044,8087080
2045,8024763
2046,7960898
2047,7895596
2048,7828857
2049,7760767
2050,7691357
